+--------+-----------+----------------------------------------------------+-------------------------------+------------------------------------------------------------------------+--------------+
| Domain | Method    | URI                                                | Name                          | Action                                                                 | Middleware   |
+--------+-----------+----------------------------------------------------+-------------------------------+------------------------------------------------------------------------+--------------+
|        | GET|HEAD  | salles/{salle}/edit                                | salles.edit                   | App\Http\Controllers\SallesController@edit                             | web          |
|        | POST      | surveillants                                       | surveillants.store            | App\Http\Controllers\SurveillantsController@store                      | web,auth     |
|        | GET|HEAD  | surveillants                                       | surveillants.index            | App\Http\Controllers\SurveillantsController@index                      | web,auth     |
|        | GET|HEAD  | surveillants/create                                | surveillants.create           | App\Http\Controllers\SurveillantsController@create                     | web,auth     |
|        | DELETE    | surveillants/{surveillant}                         | surveillants.destroy          | App\Http\Controllers\SurveillantsController@destroy                    | web,auth     |
|        | PUT|PATCH | surveillants/{surveillant}                         | surveillants.update           | App\Http\Controllers\SurveillantsController@update                     | web,auth     |
|        | GET|HEAD  | surveillants/{surveillant}                         | surveillants.show             | App\Http\Controllers\SurveillantsController@show                       | web,auth     |
|        | GET|HEAD  | surveillants/{surveillant}/edit                    | surveillants.edit             | App\Http\Controllers\SurveillantsController@edit                       | web,auth     |
|        | GET|HEAD  | tps                                                | tps.index                     | App\Http\Controllers\TpsController@index                               | web          |
|        | POST      | tps                                                | tps.store                     | App\Http\Controllers\TpsController@store                               | web          |
|        | GET|HEAD  | tps/create                                         | tps.create                    | App\Http\Controllers\TpsController@create                              | web          |
|        | PUT|PATCH | tps/{tp}                                           | tps.update                    | App\Http\Controllers\TpsController@update                              | web          |
|        | GET|HEAD  | tps/{tp}                                           | tps.show                      | App\Http\Controllers\TpsController@show                                | web          |
|        | DELETE    | tps/{tp}                                           | tps.destroy                   | App\Http\Controllers\TpsController@destroy                             | web          |
|        | GET|HEAD  | tps/{tp}/edit                                      | tps.edit                      | App\Http\Controllers\TpsController@edit                                | web          |
|        | GET|HEAD  | visiteur                                           | visiteur.index                | App\Http\Controllers\Users\VisiteurController@index                    | web,auth     |
|        | POST      | visiteur                                           | visiteur.store                | App\Http\Controllers\Users\VisiteurController@store                    | web,auth     |
|        | GET|HEAD  | visiteur/create                                    | visiteur.create               | App\Http\Controllers\Users\VisiteurController@create                   | web,auth     |
|        | GET|HEAD  | visiteur/{visiteur}                                | visiteur.show                 | App\Http\Controllers\Users\VisiteurController@show                     | web,auth     |
|        | PUT|PATCH | visiteur/{visiteur}                                | visiteur.update               | App\Http\Controllers\Users\VisiteurController@update                   | web,auth     |
|        | DELETE    | visiteur/{visiteur}                                | visiteur.destroy              | App\Http\Controllers\Users\VisiteurController@destroy                  | web,auth     |
|        | GET|HEAD  | visiteur/{visiteur}/edit                           | visiteur.edit                 | App\Http\Controllers\Users\VisiteurController@edit                     | web,auth     |
+--------+-----------+----------------------------------------------------+-------------------------------+------------------------------------------------------------------------+--------------+
